day,total_amount,TRX_amount,WTRX_amount,WBTT_amount,BTC_amount,WBTC_amount,ETH_amount,USDT_amount,BTT_amount,WIN_amount,USDJ_amount,JST_amount,SUNOLD_amount,TUSD_amount,USDC_amount,NFT_amount,SUN_amount,DOGE_amount,BTT_amount,USDD_amount,HT_amount
2025-12-04,27187210194,187390846.8,16474003.16,0,273160.1525,0,32640.34052,26792730850,922103.342,82560.33052,5570.895355,11509368.07,0,927958.7296,332340.354,1499044.24,1399594.014,3795.273235,922103.342,0,0
2025-12-03,30711625880,205786205.4,16320921.39,0,2313339.564,0,46621.37239,30208642368,2250985.307,340667.5297,566.758764,11383283.77,0,4817979.652,55575.77426,1054163.163,1871822.941,0,2250985.307,0,0
2025-12-02,31583084836,167639233.3,18712767.91,0,12842611.09,0,37217.96979,31118884863,1394387.569,86228.48636,2055.259414,4562242.619,0,74235.13396,438783.0969,1107283.628,1547100.55,0,1394387.569,0,0
2025-12-01,29923907157,242180487.4,34014790.36,0,9770626.73,0,145204.1695,29398175162,3341189.519,440826.6577,13520.11534,5582296.358,0,61786.70726,127033.2568,2713731.955,5157066.186,0,3341189.519,0,0
2025-11-30,11212079488,131924464.7,9201464.106,0,97576.13986,0,156783.2939,10786511624,1506489.794,114305.1618,3660.054721,8836820.438,0,41314.24596,179920.2353,181923.8471,2701313.257,0,1506489.794,0,0
2025-11-29,13392885374,122962453.3,14529772.49,0,2252301.269,0,8091.386409,13076847990,4227859.78,93039.63671,89.192588,9123942.672,0,80892.83602,134126.8029,1416429.317,33639676.74,0,4227859.78,0,0
2025-11-28,30362978355,180822519.8,16582326.81,0,9755309.005,0,44848.34377,30000679236,2371793.311,75714.01277,8278.652543,18922399.96,0,158359.8828,266392.9252,305327.9244,2744971.147,0,2371793.311,0,0
2025-11-27,25414957898,160235803.4,14931664.78,0,805544.3246,0,54901.64534,25088892974,2390025.496,66879.84371,46108.30336,3968933.002,0,24316.75675,265837.915,565758.9527,3307025.559,0,2390025.496,0,0
2025-11-26,28584951962,164172065,15323514.98,0,1033111.943,0,74293.26128,28182619675,1254057.973,52046.09343,2663.847245,5201030.636,0,32260.95633,159366.3899,1153530.175,9839855.712,0,1254057.973,0,0
2025-11-25,28913009685,222781411.3,27334833.37,0,1007303.865,0,326344.3809,28342669190,1585085.768,51202.38568,858.216829,3834773.934,0,14765.63288,98004.28446,438716.1502,2158892.036,40.710327,1585085.768,0,0
2025-11-24,27972694796,203528522.3,28835710.41,0,3938118.154,0,293061.3096,27518992595,1119554.377,44436.96488,1831.669145,3327357.396,0,382244.8894,118664.6162,259511.5236,3622611.752,1.932271,1119554.377,0,0
2025-11-23,11248905538,138168027.5,18983361.43,0,2108803.612,0,33948.94981,10926474342,981194.0352,61781.22733,2213.914994,18570740.87,0,121493.9629,147143.0403,111699.3799,3979484.841,0,981194.0352,0,0
2025-11-22,13883472657,146329618.8,30072013.67,0,1346799.181,0,472344.4907,13493298678,723368.0328,74789.48203,1066.976849,2449891.656,0,294964.5703,64907.80829,81574.93114,1417606.427,0,723368.0328,0,0
2025-11-21,30141028970,323538546.6,108543772.8,0,4756625.7,0,237093.7309,29399814585,2508800.711,233853.2832,16425.56201,9995733.913,0,1546851.424,328268.4114,171880.9918,16575892.69,0,2508800.711,0,0
